reg_ts;uid
911382223;1
932683089;2
947802447;3
959523541;4
969103313;5
977206495;6
984222671;7
990407778;8
995943765;9
1000951674;10
1005527137;11
1009732843;12
1013626719;13
1017251830;14
1020639295;15
1023824712;16
1026828002;18
1029668871;19
1032363989;20
1034927584;21
1037375498;22
1039711139;23
1041947361;25
1044092282;26
1046153067;27
1048136067;29
1050043343;30
1051887156;31
1053668454;32
1055391339;33
1057059519;34
1058676363;35
1060244936;36
1061768036;37
1063248226;38
1064687858;39
1066089095;40
1067457532;41
1068787813;43
1070085244;44
1071351408;45
1072587777;46
1073795722;47
1074976519;48
1076131363;49
1077261370;50
1078367585;52
1079450990;53
1080508906;54
1081549401;55
1082569691;56
1083570545;57
1084552691;58
1085516815;59
1086463567;60
1087393560;61
1088307379;62
1089205577;63
1090088678;64
1090957182;65
1091811563;66
1092652273;67
1093479743;68
1094294384;69
1095096587;70
1095886727;71
1096665160;72
1097432228;73
1098188260;74
1098933567;75
1099672050;76
1100396796;77
1101111682;78
1101816971;80
1102512919;81
1103199769;82
1103877756;83
1104547106;84
1105208037;85
1105860757;86
1106505468;87
1107142364;88
1107771632;89
1108393453;90
1109008001;91
1109615445;92
1110215946;94
1110809662;95
1111396743;96
1111973738;97
1112547987;98
1113116028;99
1113677994;101
1114234012;102
1114784209;103
1115328704;104
1115867614;105
1116401053;106
1116929130;107
1117451953;108
1117969625;109
1118482246;110
1118989915;111
1119492725;112
1119990769;113
1120484137;114
1120972915;115
1121457189;116
1121937039;117
1122412547;118
1122883791;119
1123350845;120
1123813784;121
1124272681;122
1124727603;123
1125178622;124
1125625801;125
1126069207;126
1126508902;127
1126944948;128
1127377406;129
1127806333;130
1128231787;131
1128653823;132
1129072497;133
1129487861;134
1129899967;136
1130308867;137
1130718208;138
1131120841;139
1131520411;140
1131916966;141
1132310551;142
1132701209;143
1133088984;144
1133473918;145
1133856052;146
1134235428;147
1134612084;148
1134986059;149
1135357391;150
1135726117;151
1136092274;152
1136455897;153
1136817020;154
1137175679;155
1137531906;156
1137885734;157
1138237195;158
1138586321;159
1138933143;161
1139277690;163
1139619993;164
1139960080;165
1140297980;166
1140633721;167
1140967330;168
1141298835;170
1141628261;171
1141955634;172
1142280981;173
1142604325;174
1142925692;175
1143245105;176
1143558988;177
1143874564;178
1144188256;179
1144500086;180
1144810077;181
1145118250;184
1145424625;186
1145729225;187
1146032069;188
1146333177;189
1146632570;190
1146930266;191
1147226286;192
1147520646;193
1147813367;194
1148104467;195
1148393962;196
1148681871;197
1148968211;198
1149252999;200
1149536252;201
1149817986;202
1150098218;203
1150376962;204
1150654236;206
1150930055;207
1151204433;208
1151477385;209
1151748928;210
1152019074;211
1152287838;212
1152555234;213
1152821277;214
1153085979;216
1153349354;217
